review_id,restaurant_id,user_id,review_text,rating,review_date,user_activity,review_length,spam_label,review_sentiment,is_verified
24,1007,2009,"The food was great, but the place was noisy.",4,2/9/2024,6,8,0,neutral,1
25,1002,2010,"The food was average, not bad but not great either.",3,2/10/2024,12,7,0,neutral,1
26,1005,2011,An unforgettable experience! The best restaurant in town.,5,2/11/2024,11,9,0,positive,1
27,1001,2012,"The chicken was undercooked, not happy at all.",2,2/12/2024,3,7,1,negative,0
28,1003,2013,A nice place to hang out with friends. The drinks were good.,4,2/13/2024,10,8,0,neutral,1
29,1006,2014,"I had to wait for 30 minutes for a table, but it was worth it.",5,2/14/2024,8,9,0,positive,1
30,1007,2015,The food was cold and tasteless. Not coming back.,1,2/15/2024,4,6,1,negative,0
31,1001,2001,"This place was amazing! Great food, great service.",5,3/1/2024,9,10,0,positive,1
32,1002,2002,"The staff was rude, food was bland.",2,3/2/2024,3,7,1,negative,0
33,1005,2003,"Lovely ambiance, the food was alright.",4,3/3/2024,5,8,0,neutral,1
34,1006,2004,"Great place, delicious food, very friendly staff.",5,3/4/2024,10,9,0,positive,1
35,1004,2005,"Very noisy, not a good place for a quiet dinner.",2,3/5/2024,4,7,1,negative,0
36,1002,2006,"Food was alright, but overpriced for the portion size.",3,3/6/2024,2,7,1,neutral,1
37,1001,2007,A wonderful dining experience! Loved everything.,5,3/7/2024,11,8,0,positive,1
38,1003,2008,"Not worth the price, food was mediocre.",2,3/8/2024,3,6,1,negative,0
39,1007,2009,Amazing food! The lamb chops were out of this world.,5,3/9/2024,10,9,0,positive,1
40,1004,2010,"Great service, good food, will be back again!",5,3/10/2024,8,8,0,positive,1
41,1005,2011,"The food was cold, and the ambiance was too dark.",2,3/11/2024,1,7,1,negative,0
42,1002,2012,"The food was great, I had a fantastic time.",5,3/12/2024,7,9,0,positive,1
43,1006,2013,"Too spicy for my taste, didn’t enjoy the food.",3,3/13/2024,6,8,0,neutral,1
44,1001,2014,Loved the ambiance and the food was very tasty.,5,3/14/2024,9,10,0,positive,1
45,1003,2015,"Very disappointing, the food didn’t match the hype.",2,3/15/2024,3,6,1,negative,0
46,1005,2001,"Good service, but the food was very average.",3,3/16/2024,12,7,0,neutral,1
47,1002,2002,Incredible! The best burgers in town.,5,3/17/2024,5,9,0,positive,1
48,1006,2003,"Not as good as I expected, the steak was too chewy.",3,3/18/2024,4,7,1,neutral,1
49,1004,2004,"Delicious, but could have been warmer when served.",4,3/19/2024,2,8,0,neutral,1
50,1007,2005,"Amazing food, but the place is too crowded.",4,3/20/2024,7,8,0,neutral,1
51,1005,2006,The food was bland and overpriced.,2,3/21/2024,6,6,1,negative,0
52,1002,2007,It was a great experience. The desserts were incredible.,5,3/22/2024,8,9,0,positive,1
53,1001,2008,"Very disappointing, not what I expected from a 5-star restaurant.",2,3/23/2024,3,6,1,negative,0
54,1003,2009,"The food was amazing, but the service was slow.",4,3/24/2024,4,8,0,neutral,1
55,1007,2010,"The restaurant was too noisy, couldn't enjoy my meal.",2,3/25/2024,5,7,1,negative,0
56,1004,2011,"Fantastic food, friendly staff. Will definitely return.",5,3/26/2024,3,9,0,positive,1
57,1002,2012,I had a terrible experience. The food was cold.,1,3/27/2024,6,6,1,negative,0
58,1006,2013,"Good food, poor service.",3,3/28/2024,7,7,0,neutral,1
59,1003,2014,"A very nice dining experience, everything was perfect.",5,3/29/2024,5,10,0,positive,1
60,1005,2015,"Not worth the price, food was okay but not great.",3,3/30/2024,8,7,0,neutral,1
61,1007,2001,Had an amazing meal! Will be back soon.,5,4/1/2024,4,8,0,positive,1
62,1002,2002,"Terrible! Food was awful, I regret coming here.",1,4/2/2024,9,6,1,negative,0
63,1003,2003,"Good food, but overpriced.",3,4/3/2024,10,8,0,neutral,1
64,1006,2004,"The service was slow, but the food was great.",4,4/4/2024,5,9,0,neutral,1
65,1004,2005,"I’ll never come back, worst experience ever.",1,4/5/2024,3,6,1,negative,0
66,1001,2006,"Delicious food, but the wait time was too long.",4,4/6/2024,2,8,0,neutral,1
67,1002,2007,"Best sushi in town, amazing experience!",5,4/7/2024,15,10,0,positive,1
68,1003,2008,"Not great, food was not fresh.",2,4/8/2024,6,7,1,negative,0
69,1005,2009,"Great ambiance, the food was alright.",4,4/9/2024,9,8,0,neutral,1
70,1006,2010,"Poor experience, food was way too salty.",2,4/10/2024,3,7,1,negative,0
71,1007,2011,"Nice experience overall, would recommend.",4,4/11/2024,8,8,0,neutral,1
72,1002,2012,"Not coming back, the food was tasteless.",2,4/12/2024,4,6,1,negative,0
73,1001,2013,"I loved everything about this place, highly recommend!",5,4/13/2024,6,10,0,positive,1
74,1004,2014,"Food was fine, but service was lacking.",3,4/14/2024,5,7,0,neutral,1
75,1007,2015,Horrible! Worst restaurant I’ve ever been to.,1,4/15/2024,4,6,1,negative,0
76,1006,2001,"Wonderful food, very nice place.",5,4/16/2024,3,8,0,positive,1
77,1002,2002,"Okay place, but food was not worth the price.",3,4/17/2024,7,7,0,neutral,1
78,1005,2003,"Highly recommend! Amazing food, great ambiance.",5,4/18/2024,9,9,0,positive,1
79,1003,2004,"Very average, nothing special.",2,4/19/2024,6,6,1,negative,0
80,1007,2005,"Perfect meal! Great food, lovely staff.",5,4/20/2024,8,10,0,positive,1
81,1001,2001,"The food was excellent, but the service was too slow.",4,4/21/2024,6,8,0,neutral,1
82,1002,2002,Not impressed. The food was undercooked and too salty.,2,4/22/2024,7,7,1,negative,0
83,1003,2003,"It was okay. Not bad, but not great either.",3,4/23/2024,8,7,0,neutral,1
84,1004,2004,"Delicious food, but too expensive for the portion size.",3,4/24/2024,5,8,0,neutral,1
85,1005,2005,Highly recommend this place! Amazing experience.,5,4/25/2024,15,10,0,positive,1
86,1006,2006,"The service was great, but the food was bland.",3,4/26/2024,5,7,0,neutral,1
87,1007,2007,"Food was perfect, but they took too long to serve us.",4,4/27/2024,9,8,0,neutral,1
88,1002,2008,"I had a great time, the food was delicious and the staff was kind.",5,4/28/2024,10,9,0,positive,1
89,1001,2009,"Very disappointing, the food was cold and tasteless.",2,4/29/2024,4,6,1,negative,0
90,1003,2010,Awesome place! The pizza is definitely a must-try.,5,4/30/2024,8,9,0,positive,1
91,1006,2011,"Not bad, but I expected more for the price.",3,5/1/2024,6,7,0,neutral,1
92,1005,2012,"The atmosphere was perfect, but the food was average.",3,5/2/2024,7,8,0,neutral,1
93,1002,2013,Awful experience. The food was cold and very bland.,1,5/3/2024,5,5,1,negative,0
94,1007,2014,"Food was delicious, but the restaurant was too noisy.",4,5/4/2024,8,8,0,neutral,1
95,1001,2015,"Amazing food, friendly staff, would love to return.",5,5/5/2024,9,9,0,positive,1
96,1004,2001,"Not great, food was tasteless and cold.",2,5/6/2024,3,6,1,negative,0
97,1002,2002,"Great food, but the service was a bit slow.",4,5/7/2024,6,8,0,neutral,1
98,1003,2003,"It was an alright experience, food was decent.",3,5/8/2024,7,7,0,neutral,1
99,1006,2004,"I loved everything, food was fresh and tasty.",5,5/9/2024,12,10,0,positive,1
100,1005,2005,"Bad experience, they forgot my order.",2,5/10/2024,3,5,1,negative,0
101,1007,2006,"Great ambiance, and the food was fantastic.",5,5/11/2024,8,9,0,positive,1
102,1004,2007,"I didn’t enjoy the food, the flavors were off.",2,5/12/2024,4,6,1,negative,0
103,1003,2008,"Nice experience, but the food was overpriced.",3,5/13/2024,10,7,0,neutral,1
104,1002,2009,"The best food I’ve ever had, I’m definitely coming back!",5,5/14/2024,5,10,0,positive,1
105,1001,2010,Overrated! Didn’t live up to the hype.,2,5/15/2024,8,6,1,negative,0
106,1004,2011,"Great food, would highly recommend.",5,5/16/2024,3,9,0,positive,1
107,1005,2012,"Not coming back, the food was too salty.",2,5/17/2024,6,6,1,negative,0
108,1003,2013,"The restaurant was decent, food was average.",3,5/18/2024,7,7,0,neutral,1
109,1007,2014,"Great food and service, highly recommend this place.",5,5/19/2024,12,9,0,positive,1
110,1001,2015,"Bad experience, the food was cold and unappetizing.",1,5/20/2024,3,5,1,negative,0
111,1002,2001,"Very good food, great for a family outing.",5,5/21/2024,10,9,0,positive,1
112,1003,2002,The food was overpriced for what you get.,3,5/22/2024,8,7,0,neutral,1
113,1006,2003,Amazing! Totally worth the visit.,5,5/23/2024,6,10,0,positive,1
114,1007,2004,I did not like the food at all.,1,5/24/2024,5,5,1,negative,0
115,1004,2005,"Great experience overall, would come back again.",5,5/25/2024,10,9,0,positive,1
116,1005,2006,"Food was too spicy for me, but the service was good.",3,5/26/2024,8,7,0,neutral,1
117,1002,2007,"Fantastic meal, will definitely visit again.",5,5/27/2024,4,9,0,positive,1
118,1001,2008,"Food was alright, but I didn’t like the atmosphere.",3,5/28/2024,3,7,0,neutral,1
119,1006,2009,"The food was great, but the restaurant was very noisy.",4,5/29/2024,12,8,0,neutral,1
120,1003,2010,"The pizza was great, but the pasta was a bit bland.",4,5/30/2024,7,8,0,neutral,1
121,1007,2011,"Not worth the price, the food was just average.",3,6/1/2024,6,7,0,neutral,1
122,1002,2012,Amazing service and delicious food.,5,6/2/2024,9,9,0,positive,1
123,1004,2013,"The place was too crowded, not a great experience.",2,6/3/2024,5,6,1,negative,0
124,1001,2014,"Best food ever, highly recommend to anyone!",5,6/4/2024,10,10,0,positive,1
125,1003,2015,"Not impressed, food was underwhelming.",2,6/5/2024,7,6,1,negative,0
126,1006,2001,"Nice ambiance, food was okay.",3,6/6/2024,6,7,0,neutral,1
127,1005,2002,Worst experience ever. Food was cold and tasteless.,1,6/7/2024,5,5,1,negative,0
128,1004,2003,"The service was excellent, but the food could be better.",3,6/8/2024,4,7,0,neutral,1
129,1002,2004,"The food was too spicy for me, but the service was fine.",3,6/9/2024,6,7,0,neutral,1
130,1001,2005,"Very good food, great ambiance!",5,6/10/2024,10,9,0,positive,1
131,1003,2006,Would not recommend. The food was not fresh.,2,6/11/2024,7,6,1,negative,0
132,1005,2007,"Good food, but the restaurant was very noisy.",3,6/12/2024,5,7,0,neutral,1
133,1006,2008,"Absolutely amazing food, will definitely be back!",5,6/13/2024,8,9,0,positive,1
134,1002,2009,Average experience. The food was alright.,3,6/14/2024,6,7,0,neutral,1
135,1004,2010,"Great food, but the ambiance wasn’t to my liking.",4,6/15/2024,7,8,0,neutral,1
136,1003,2011,"The food was good, but the portions were small.",3,6/16/2024,5,7,0,neutral,1
137,1005,2012,The food was very disappointing. I won’t return.,2,6/17/2024,4,6,1,negative,0
138,1007,2013,A wonderful experience! Great service and delicious food.,5,6/18/2024,9,10,0,positive,1
139,1002,2014,Not coming back. The food was overpriced for what it was.,2,6/19/2024,7,6,1,negative,0
140,1004,2015,"The food was amazing, the service could use improvement.",4,6/20/2024,6,8,0,neutral,1
141,1001,2001,"Great food, I will definitely come back!",5,6/21/2024,11,9,0,positive,1
142,1003,2002,"The food was just okay, nothing special.",3,6/22/2024,8,7,0,neutral,1
143,1006,2003,"Fantastic experience, highly recommend this place!",5,6/23/2024,5,9,0,positive,1
144,1002,2004,"Very slow service, but the food was good.",3,6/24/2024,7,7,0,neutral,1
145,1004,2005,"Delicious food, but the restaurant was very noisy.",4,6/25/2024,8,8,0,neutral,1
146,1005,2006,"It was a good meal, but overpriced for what I got.",3,6/26/2024,9,7,0,neutral,1
147,1007,2007,Awesome place! Will be back next week.,5,6/27/2024,6,9,0,positive,1
148,1003,2008,"Not great, the food was very salty.",2,6/28/2024,7,6,1,negative,0
149,1006,2009,The best steak I've had in a while.,5,6/29/2024,5,9,0,positive,1
150,1004,2010,The food was cold and tasteless.,1,6/30/2024,4,5,1,negative,0
151,1002,2011,"Wonderful food, great experience overall.",5,7/1/2024,9,10,0,positive,1
152,1005,2012,"Not worth the price, very average food.",3,7/2/2024,8,7,0,neutral,1
153,1006,2013,"Delicious food, great service, highly recommend.",5,7/3/2024,6,10,0,positive,1
154,1001,2014,"Good food, but the service was slow.",3,7/4/2024,10,7,0,neutral,1
155,1002,2015,Worst experience. The food was terrible.,1,7/5/2024,5,6,1,negative,0
156,1007,2001,Amazing food and ambiance! Highly recommend.,5,7/6/2024,8,9,0,positive,1
157,1004,2002,"Food was good, but the place was too crowded.",3,7/7/2024,7,7,0,neutral,1
158,1001,2003,"Nice place, food was tasty but too oily.",4,7/8/2024,6,8,0,neutral,1
159,1006,2004,Terrible! The food was too salty.,1,7/9/2024,4,5,1,negative,0
160,1005,2005,"Fantastic, food and service were excellent.",5,7/10/2024,12,10,0,positive,1
161,1001,2006,"Great food, but the service was very slow.",3,7/11/2024,7,7,0,neutral,1
162,1002,2007,"Food was very fresh, but too spicy for me.",4,7/12/2024,8,8,0,neutral,1
163,1003,2008,"I did not like the food, it was bland and cold.",2,7/13/2024,5,6,1,negative,0
164,1006,2009,"Wonderful meal, will definitely return again.",5,7/14/2024,9,10,0,positive,1
165,1005,2010,"It was okay, but the food was too salty.",3,7/15/2024,8,7,0,neutral,1
166,1001,2011,"The ambiance was nice, but the food was disappointing.",2,7/16/2024,6,6,1,negative,0
167,1002,2012,Very delicious! The best burgers in town.,5,7/17/2024,10,9,0,positive,1
168,1003,2013,"Not great, very greasy food.",2,7/18/2024,5,5,1,negative,0
169,1007,2014,"Perfect meal, great atmosphere and service.",5,7/19/2024,12,9,0,positive,1
170,1004,2015,"Food was okay, but nothing special.",3,7/20/2024,7,7,0,neutral,1
171,1006,2001,"Not a fan of the food, it was cold and undercooked.",1,7/21/2024,5,5,1,negative,0
172,1005,2002,"Great service, but the food was overpriced.",3,7/22/2024,8,6,0,neutral,1
173,1001,2003,Best sushi I’ve ever had!,5,7/23/2024,10,9,0,positive,1
174,1003,2004,"The food was okay, but the portions were small.",3,7/24/2024,7,7,0,neutral,1
175,1007,2005,Very disappointing experience. I won’t return.,2,7/25/2024,6,6,1,negative,0
176,1004,2006,"The food was fantastic, great ambiance.",5,7/26/2024,9,9,0,positive,1
177,1006,2007,"It was decent, but I expected more for the price.",3,7/27/2024,7,6,0,neutral,1
178,1005,2008,Absolutely amazing food. Worth every penny.,5,7/28/2024,11,9,0,positive,1
179,1001,2009,"I didn’t like the food at all, very bland.",2,7/29/2024,5,6,1,negative,0
180,1002,2010,Wonderful experience. Everything was perfect.,5,7/30/2024,12,10,0,positive,1
181,1004,2011,"The food was too oily, and the service was slow.",2,7/31/2024,4,6,1,negative,0
182,1006,2012,Delicious food and friendly service.,5,8/1/2024,9,10,0,positive,1
183,1003,2013,"Not great, the food lacked flavor.",2,8/2/2024,6,5,1,negative,0
184,1001,2014,"Food was okay, but the ambiance was awful.",3,8/3/2024,7,7,0,neutral,1
185,1005,2015,"Fantastic food, will definitely come back!",5,8/4/2024,10,9,0,positive,1
186,1002,2001,"The food was amazing, but the place was too crowded.",4,8/5/2024,8,8,0,neutral,1
187,1007,2002,"Not impressed, the food was underwhelming.",2,8/6/2024,7,5,1,negative,0
188,1003,2003,Wonderful food and service.,5,8/7/2024,9,9,0,positive,1
189,1001,2004,"The service was good, but the food was bland.",3,8/8/2024,6,7,0,neutral,1
190,1002,2005,"Loved the food, great ambiance too!",5,8/9/2024,10,9,0,positive,1
191,1004,2006,"Food was decent, but the atmosphere didn’t suit me.",3,8/10/2024,7,6,0,neutral,1
192,1007,2007,Best pizza I’ve ever had! Highly recommend.,5,8/11/2024,12,10,0,positive,1
193,1006,2008,Terrible experience. The food was terrible.,1,8/12/2024,4,5,1,negative,0
194,1003,2009,"Great food, but the place was too noisy.",4,8/13/2024,8,8,0,neutral,1
195,1005,2010,"The food was alright, but very overpriced.",3,8/14/2024,9,7,0,neutral,1
196,1001,2011,"Amazing service, but the food was cold.",3,8/15/2024,7,6,0,neutral,1
197,1002,2012,Fantastic dining experience. Will be back.,5,8/16/2024,9,10,0,positive,1
198,1006,2013,"Not bad, but I expected better.",3,8/17/2024,8,6,0,neutral,1
199,1004,2014,"The food was delicious, but the service was a bit slow.",4,8/18/2024,7,8,0,neutral,1
200,1007,2015,Overpriced and the food wasn’t good.,2,8/19/2024,6,5,1,negative,0
201,1003,2001,Wonderful meal. Highly recommended.,5,8/20/2024,10,9,0,positive,1
202,1002,2002,"Great food, but the restaurant was too noisy.",4,8/21/2024,7,8,0,neutral,1
203,1001,2003,It was just okay. Nothing special.,3,8/22/2024,6,7,0,neutral,1
204,1004,2004,Food was fantastic! Would definitely recommend.,5,8/23/2024,9,10,0,positive,1
205,1005,2005,I had a bad experience. The food was cold and tasteless.,2,8/24/2024,5,5,1,negative,0
206,1006,2006,"Good service, but the food was too oily.",3,8/25/2024,8,7,0,neutral,1
207,1007,2007,Perfect dinner. Loved everything about the place.,5,8/26/2024,10,9,0,positive,1
208,1001,2008,The food was terrible. Don’t waste your money.,1,8/27/2024,6,5,1,negative,0
209,1003,2009,"Good food, but the service needs improvement.",3,8/28/2024,7,6,0,neutral,1
210,1006,2010,"Amazing food, will definitely visit again.",5,8/29/2024,9,9,0,positive,1
211,1004,2011,"I didn’t enjoy the food, it was bland.",2,8/30/2024,6,6,1,negative,0
212,1005,2012,"Not great, food was very greasy.",2,9/1/2024,7,6,1,negative,0
213,1007,2013,"Wonderful experience, will come again.",5,9/2/2024,11,10,0,positive,1
214,1001,2014,The food was great but way overpriced.,3,9/3/2024,8,7,0,neutral,1
215,1002,2015,"Amazing meal, loved the dessert!",5,9/4/2024,9,9,0,positive,1
216,1006,2001,Not worth it. The food was just okay.,3,9/5/2024,7,6,0,neutral,1
217,1003,2002,Very bad experience. The food was cold.,1,9/6/2024,6,5,1,negative,0
218,1004,2003,"Amazing food, will definitely visit again.",5,9/7/2024,10,9,0,positive,1
219,1007,2004,"Good food, but I was disappointed with the service.",3,9/8/2024,7,7,0,neutral,1
220,1001,2005,"Delicious food, loved the ambiance!",5,9/9/2024,9,10,0,positive,1
221,1005,2006,Very poor experience. The food was terrible.,1,9/10/2024,6,5,1,negative,0
222,1002,2007,Best meal I’ve had in ages! Highly recommend.,5,9/11/2024,11,9,0,positive,1
223,1006,2008,Not the best experience. The food was bland.,2,9/12/2024,6,5,1,negative,0
224,1003,2009,"Food was good, but the place was too crowded.",3,9/13/2024,8,7,0,neutral,1
225,1007,2010,"Great food, loved the service.",5,9/14/2024,10,9,0,positive,1
226,1001,2011,"Food was overpriced, not worth it.",2,9/15/2024,6,6,1,negative,0
227,1005,2012,Absolutely wonderful! Food was amazing.,5,9/16/2024,12,10,0,positive,1
228,1002,2013,"It was good, but not as great as I expected.",3,9/17/2024,8,7,0,neutral,1
229,1006,2014,"Not good, the food was bland and dry.",2,9/18/2024,5,6,1,negative,0
230,1003,2015,Lovely place with delicious food.,5,9/19/2024,9,9,0,positive,1
231,1001,2001,Very salty food. Not coming back.,2,9/20/2024,7,6,1,negative,0
232,1007,2002,"Great ambiance, but the food could be better.",3,9/21/2024,8,7,0,neutral,1
233,1004,2003,"Best burger in town, highly recommended!",5,9/22/2024,10,9,0,positive,1
234,1006,2004,The food was terrible. Very disappointed.,1,9/23/2024,6,5,1,negative,0
235,1005,2005,"Fantastic place, food and service were amazing.",5,9/24/2024,11,9,0,positive,1
236,1002,2006,"The food was good, but the restaurant was too loud.",4,9/25/2024,8,7,0,neutral,1
237,1003,2007,"Disappointing, the food was undercooked.",2,9/26/2024,5,5,1,negative,0
238,1001,2008,"Great food, will definitely come back again.",5,9/27/2024,9,10,0,positive,1
239,1005,2009,"Food was not fresh, very bland.",2,9/28/2024,6,5,1,negative,0
240,1006,2010,"Nice place, but the food wasn’t impressive.",3,9/29/2024,7,7,0,neutral,1
241,1002,2011,"Good food, but the place is too noisy.",3,9/30/2024,8,6,0,neutral,1
242,1003,2012,"A great meal, will be back next time.",5,10/1/2024,10,9,0,positive,1
243,1007,2013,"Amazing experience, the food was fantastic.",5,10/2/2024,11,10,0,positive,1
244,1004,2014,"Not great, the food was bland and cold.",2,10/3/2024,7,6,1,negative,0
245,1006,2015,"Fantastic meal, highly recommend this restaurant.",5,10/4/2024,10,9,0,positive,1
246,1005,2001,"Great food, but the service was slow.",4,10/5/2024,8,8,0,neutral,1
247,1002,2002,"Not coming back, food was too salty.",2,10/6/2024,7,5,1,negative,0
248,1001,2003,"Amazing food and service, would highly recommend.",5,10/7/2024,9,10,0,positive,1
249,1003,2004,Terrible experience. The food was awful.,1,10/8/2024,5,5,1,negative,0
250,1007,2005,Great experience! Delicious food and friendly service.,5,10/9/2024,12,10,0,positive,1
251,1001,2006,"The food was tasty, but the portions were small.",3,10/10/2024,7,7,0,neutral,1
252,1002,2007,"The meal was good, but the ambiance could be improved.",4,10/11/2024,8,7,0,neutral,1
253,1003,2008,Not a fan of the food. It was cold and bland.,2,10/12/2024,6,5,1,negative,0
254,1006,2009,Absolutely loved the food and the service was excellent.,5,10/13/2024,10,9,0,positive,1
255,1005,2010,"It was good, but there was nothing exceptional.",3,10/14/2024,7,6,0,neutral,1
256,1007,2011,Fantastic! Loved everything from the food to the service.,5,10/15/2024,12,10,0,positive,1
257,1001,2012,The food was too oily for my liking.,2,10/16/2024,5,6,1,negative,0
258,1002,2013,Perfect meal! Highly recommend this place.,5,10/17/2024,9,9,0,positive,1
259,1003,2014,"The food was mediocre, not worth the price.",3,10/18/2024,7,6,0,neutral,1
260,1006,2015,"Delicious food, but service was slow.",4,10/19/2024,8,7,0,neutral,1
261,1007,2001,"Not impressed, the food was undercooked.",2,10/20/2024,6,5,1,negative,0
262,1001,2002,"Nice place, but the food was too salty for me.",3,10/21/2024,7,6,0,neutral,1
263,1005,2003,"The food was delicious, but the restaurant was noisy.",4,10/22/2024,8,7,0,neutral,1
264,1002,2004,"Terrible service, but the food was good.",3,10/23/2024,6,7,0,neutral,1
265,1006,2005,The meal was amazing! Definitely coming back.,5,10/24/2024,10,9,0,positive,1
266,1003,2006,Disappointing experience. The food lacked flavor.,2,10/25/2024,5,6,1,negative,0
267,1001,2007,"Very good food, but the place was too crowded.",4,10/26/2024,8,7,0,neutral,1
268,1005,2008,I didn’t like the food. It was bland and cold.,2,10/27/2024,5,5,1,negative,0
269,1002,2009,"Nice place, good food, but overpriced.",3,10/28/2024,7,6,0,neutral,1
270,1006,2010,"Food was fantastic, but the service was slow.",4,10/29/2024,8,7,0,neutral,1
271,1007,2011,"Great dining experience, will definitely be back!",5,10/30/2024,11,9,0,positive,1
272,1001,2012,"Food was okay, but nothing exceptional.",3,10/31/2024,6,6,0,neutral,1
273,1002,2013,"Excellent food, great service!",5,11/1/2024,10,9,0,positive,1
274,1005,2014,Very salty food. Not coming back again.,2,11/2/2024,5,5,1,negative,0
275,1006,2015,"Fantastic restaurant, amazing food and service.",5,11/3/2024,12,10,0,positive,1
276,1003,2001,Disappointing meal. Wouldn’t recommend it.,2,11/4/2024,5,5,1,negative,0
277,1001,2002,"Great food, but the wait was way too long.",3,11/5/2024,7,6,0,neutral,1
278,1007,2003,"The best pizza in town, highly recommended!",5,11/6/2024,10,9,0,positive,1
279,1005,2004,"The food was alright, but the service was bad.",2,11/7/2024,6,5,1,negative,0
280,1002,2005,"Food was great, but the place was too noisy.",4,11/8/2024,8,7,0,neutral,1
281,1006,2006,"Nice food, but they need to improve service.",3,11/9/2024,7,6,0,neutral,1
282,1003,2007,Food was bland and cold. Not a good experience.,2,11/10/2024,5,6,1,negative,0
283,1001,2008,"Lovely food, but the restaurant was too hot.",3,11/11/2024,7,6,0,neutral,1
284,1005,2009,"Amazing food, service was top-notch!",5,11/12/2024,11,9,0,positive,1
285,1002,2010,"Overpriced, not the best food.",2,11/13/2024,6,5,1,negative,0
286,1006,2011,Perfect meal. I’ll be back again.,5,11/14/2024,10,9,0,positive,1
287,1007,2012,Great experience! Highly recommend this restaurant.,5,11/15/2024,11,9,0,positive,1
288,1001,2013,"Food was decent, but the place was too loud.",3,11/16/2024,7,6,0,neutral,1
289,1005,2014,"Terrible food, didn’t enjoy it at all.",1,11/17/2024,5,4,1,negative,0
290,1002,2015,"Good food, but very overpriced.",3,11/18/2024,7,6,0,neutral,1
291,1003,2001,"Wonderful food, great ambiance.",5,11/19/2024,9,9,0,positive,1
292,1006,2002,"Nice food, but the service was poor.",3,11/20/2024,7,6,0,neutral,1
293,1007,2003,"Good food, but not worth the price.",2,11/21/2024,6,5,1,negative,0
294,1001,2004,Fantastic! Loved everything about it.,5,11/22/2024,10,9,0,positive,1
295,1005,2005,"Not great, food was too greasy.",2,11/23/2024,6,5,1,negative,0
296,1006,2006,"Great food, but the ambiance needs improvement.",3,11/24/2024,8,7,0,neutral,1
297,1002,2007,"Amazing food, service was perfect.",5,11/25/2024,11,9,0,positive,1
298,1003,2008,Not the best. The food lacked flavor.,2,11/26/2024,6,5,1,negative,0
299,1001,2009,Very delicious food. Highly recommended.,5,11/27/2024,9,9,0,positive,1
300,1007,2010,"Disappointed, the food was cold and bland.",2,11/28/2024,6,5,1,negative,0
301,1005,2011,Fantastic meal! Loved every bite.,5,11/29/2024,11,10,0,positive,1
302,1002,2012,"Good food, but service could have been better.",3,11/30/2024,7,6,0,neutral,1
303,1006,2013,"Loved the food, will be back soon.",5,12/1/2024,9,9,0,positive,1
304,1003,2014,"Okay food, but very overpriced.",3,12/2/2024,7,6,0,neutral,1
305,1001,2015,"The food was horrible, very disappointed.",1,12/3/2024,5,4,1,negative,0
306,1007,2001,"Excellent food, highly recommend.",5,12/4/2024,10,9,0,positive,1
307,1005,2002,"The meal was average, nothing special.",3,12/5/2024,7,6,0,neutral,1
308,1002,2003,The food was fresh and delicious.,5,12/6/2024,9,9,0,positive,1
309,1006,2004,"Food was too salty, not coming back.",2,12/7/2024,6,5,1,negative,0
